City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,marataizes,-21.0433,-40.8244,22.82,86.0,0.0,4.05,BR,1717453200.0
1,olonkinbyen,70.9221,-8.7187,0.4,92.0,99.0,8.45,SJ,1717453201.0
2,kodiak,57.79,-152.4072,8.73,87.0,100.0,4.12,US,1717453203.0
3,yendi,9.4427,-0.0099,28.11,64.0,51.0,2.03,GH,1717453204.0
4,mahina,-17.5065,-149.489,28.87,65.0,75.0,3.09,PF,1717453206.0
5,tsiombe,-25.3,45.4833,19.68,90.0,5.0,4.21,MG,1717453207.0
6,kill devil hills,36.0307,-75.676,27.0,73.0,75.0,6.69,US,1717453208.0
7,waitangi,-43.9535,-176.5597,8.79,77.0,89.0,3.58,NZ,1717453209.0
8,san antonio de pale,-1.4014,5.6325,25.83,81.0,87.0,5.68,GQ,1717453210.0
9,aioun,16.6614,-9.6149,36.51,14.0,0.0,3.49,MR,1717453211.0
10,ushuaia,-54.8,-68.3,3.81,81.0,75.0,6.17,AR,1717453212.0
11,stanley,54.868,-1.6985,12.09,85.0,20.0,2.57,GB,1717453214.0
12,port-aux-francais,-49.35,70.2167,2.09,78.0,99.0,12.34,TF,1717453215.0
13,invercargill,-46.4,168.35,3.9,91.0,75.0,0.45,NZ,1717453216.0
14,richards bay,-28.783,32.0377,16.9,41.0,61.0,5.52,ZA,1717453217.0
15,port mathurin,-19.6833,63.4167,23.64,71.0,1.0,9.79,MU,1717453219.0
16,puerto lempira,15.2667,-83.7667,29.58,70.0,100.0,4.67,HN,1717453220.0
17,tiksi,71.6872,128.8694,3.67,78.0,29.0,1.59,RU,1717453221.0
18,grytviken,-54.2811,-36.5092,-2.23,70.0,43.0,3.66,GS,1717453222.0
19,new norfolk,-42.7826,147.0587,9.84,97.0,66.0,1.37,AU,1717453223.0
20,albany,42.6001,-73.9662,30.36,35.0,82.0,0.45,US,1717452566.0
21,keflavik,64.0049,-22.5624,5.95,70.0,75.0,8.23,IS,1717453226.0
22,saint-philippe,-21.3585,55.7679,19.77,78.0,35.0,4.0,RE,1717453227.0
23,tofol,5.3248,163.0078,28.88,79.0,75.0,3.09,FM,1717453228.0
24,afaahiti,-17.75,-149.2833,27.93,80.0,100.0,4.52,PF,1717453229.0
25,weno,7.4515,151.8468,29.97,84.0,75.0,3.09,FM,1717453230.0
26,port lincoln,-34.7333,135.8667,12.52,82.0,100.0,4.84,AU,1717453232.0
27,hawaiian paradise park,19.5933,-154.9731,25.73,85.0,100.0,3.6,US,1717453233.0
28,saskatoon,52.1168,-106.6345,17.99,67.0,100.0,11.32,CA,1717452578.0
29,iqaluit,63.7506,-68.5145,-0.15,93.0,100.0,8.75,CA,1717453235.0
30,meadow lakes,61.6247,-149.6011,15.9,54.0,0.0,1.54,US,1717453236.0
31,bubaque,11.2833,-15.8333,26.72,79.0,97.0,7.74,GW,1717453237.0
32,taiohae,,,,,,,,
33,kumi,36.1136,128.336,16.75,78.0,0.0,0.5,KR,1717453240.0
34,yaya,56.206,86.44,10.09,98.0,100.0,3.53,RU,1717453241.0
35,khandyga,62.6667,135.6,13.81,52.0,22.0,1.75,RU,1717453242.0
36,adamstown,-25.066,-130.1015,21.3,82.0,100.0,3.22,PN,1717453243.0
37,pyt-yakh,60.7499,72.8582,3.7,70.0,6.0,0.45,RU,1717453244.0
38,blackmans bay,-43.0167,147.3167,9.18,96.0,0.0,0.45,AU,1717453245.0
39,vorkuta,67.5,64.0,-6.61,98.0,100.0,0.89,RU,1717453246.0
40,tura,25.5198,90.2201,21.59,94.0,100.0,1.71,IN,1717453248.0
41,puerto natales,-51.7236,-72.4875,-0.85,93.0,100.0,0.94,CL,1717453249.0
42,penzance,50.1186,-5.5371,14.38,89.0,40.0,4.19,GB,1717453230.0
43,west island,-12.1568,96.8225,27.99,89.0,40.0,3.6,CC,1717453251.0
44,kerikeri,-35.2268,173.9474,14.39,95.0,100.0,1.58,NZ,1717453252.0
45,sylacauga,33.1732,-86.2516,31.07,61.0,100.0,3.09,US,1717453253.0
46,anadyr,64.75,177.4833,10.28,53.0,0.0,7.0,RU,1717453255.0
47,marsh harbour,26.5412,-77.0636,26.24,73.0,15.0,5.44,BS,1717453256.0
48,vadso,70.0744,29.7487,10.49,87.0,20.0,1.54,NO,1717453257.0
49,hithadhoo,-0.6,73.0833,28.61,73.0,91.0,3.85,MV,1717453258.0
50,taroa,8.7058,171.2275,27.9,81.0,88.0,7.24,MH,1717453259.0
51,hassi messaoud,31.6804,6.0729,27.92,44.0,7.0,6.17,DZ,1717453260.0
52,maxixe,-23.8597,35.3472,24.06,84.0,15.0,6.93,MZ,1717453262.0
53,san cristobal,7.7669,-72.225,25.1,78.0,81.0,2.89,VE,1717453263.0
54,hamilton,39.1834,-84.5333,28.97,62.0,40.0,2.57,US,1717453138.0
55,nafada,11.0956,11.3327,33.05,42.0,75.0,5.54,NG,1717453265.0
56,jamestown,42.097,-79.2353,25.25,68.0,75.0,3.09,US,1717453055.0
57,whitburn,54.9533,-1.3686,14.03,82.0,21.0,4.41,GB,1717453267.0
58,lazaro cardenas,17.9583,-102.2,29.81,53.0,3.0,6.52,MX,1717453268.0
59,yellowknife,62.456,-114.3525,13.56,66.0,75.0,6.17,CA,1717453260.0
60,naze,28.3667,129.4833,22.51,70.0,3.0,4.68,JP,1717453271.0
61,saldanha,-33.0117,17.9442,17.03,95.0,68.0,3.45,ZA,1717453272.0
62,margaret river,-33.95,115.0667,15.93,82.0,70.0,0.83,AU,1717453273.0
63,mugia,43.1041,-9.2179,15.51,84.0,2.0,6.35,ES,1717453274.0
64,aykhal,66.0,111.5,12.78,40.0,100.0,1.67,RU,1717453275.0
65,edinburgh of the seven seas,-37.0676,-12.3116,12.05,59.0,32.0,2.73,SH,1717453277.0
66,thompson,55.7435,-97.8558,16.09,51.0,75.0,3.09,CA,1717453278.0
67,al jawf,29.5,38.75,31.53,13.0,4.0,4.69,SA,1717453279.0
68,forster,-32.1667,152.5167,10.77,100.0,19.0,1.93,AU,1717453280.0
69,lebu,-37.6167,-73.65,11.69,62.0,100.0,4.91,CL,1717452983.0
70,puerto ayora,-0.7393,-90.3518,26.98,97.0,86.0,0.45,EC,1717453283.0
71,la gi,10.6667,107.7833,26.78,77.0,100.0,4.32,VN,1717453284.0
72,vilyuysk,63.7553,121.6247,18.33,70.0,83.0,1.79,RU,1717453285.0
73,manatutu,,,,,,,,
74,college,64.8569,-147.8028,19.69,43.0,100.0,0.89,US,1717453287.0
75,moyale,3.5167,39.0584,21.52,62.0,13.0,1.27,KE,1717453288.0
76,st. john's,47.5649,-52.7093,9.6,98.0,100.0,4.12,CA,1717453234.0
77,nova sintra,14.8667,-24.7167,24.34,77.0,100.0,9.82,CV,1717453291.0
78,kristiansund,63.1115,7.732,9.03,78.0,75.0,5.66,NO,1717453292.0
79,manta,-0.95,-80.7333,23.88,78.0,75.0,6.69,EC,1717453207.0
80,ar rudayyif,34.3827,8.1555,20.87,40.0,5.0,8.71,TN,1717453294.0
81,lihue,21.9789,-159.3672,28.58,76.0,75.0,6.17,US,1717453295.0
